"company_name","sectors","website","description","company_id"
"(GFL) Direct Line Environmental Corp. ","Waste Management","www.dlenv.com ","A fully integrated liquid waste management company involved in the collection and processing of waste. ",1
"(C.L.E.A.N.) - Closed Loop Environmental Alliance Network Inc. ","Air Pollution Prevention","www.cleanalliance.com ","C.L.E.A.N. is a one stop integrated service provider for environmental products and services, offering its clients a 'Closed Loop' approach with a responsible and affordable environmental solution for their environmental needs.",2
"BSI Entropy International","Environmnetal Management Systems","bsi-entropy.com ","BSI Entropy provides web-based auditable and integrated management system software solutions for leading organizations around the world to manage their risks.",3
"2CG Inc ","Consulting","www.2cg.ca ","2cg are specialists in waste diversion and developing economically and environmentally sound strategies for the private and public sectors. Services include: Waste auditing Waste management planning studies",4
"360 Energy Inc ","Air Pollution Prevention","360energy.net ","360 Energy Inc provides comprehensive energy management solutions to industrial organizations and sophisticated greenhouses.",5
"5 Star Water Solutions ","Water","","Residential, commercial and industrial sales and service for water softeners, purifiers, iron and sulfur filters.",6
"A & A Environmental Services Inc. ","Air Pollution Prevention","www.AAenvironmental.ca ","Broad-based environmental consulting firm specializing in site investigations, groundwater studies, indoor/outdoor air quality including stack testing, site remediation.",7
"A Cubed IT Solutions Inc","Waste Management","www.freerecycling.ca ","FreeRecycling.ca is diligently working to turn your high-tech 'junk' into marketable commodities, and keeping them from becoming problems in the landfill.",8
"A&L Canada Laboratories","Analytical Services","www.alcanada.com ","Private laboratory specializing in soil, compost, fertilizer, manure, plant tissue, animal feed, and waste water. ",9
"Aaroc Aggregates Ltd.  ","Waste Management","","Aaroc operates several locations, manufacturing and supplying quality aggregate materials. Delivery is available, either on a wholesale or retail basis and recyclable materials such as concrete, asphalt and brick are accepted for reprocessing.",10
"Abacon Environmental Consultants Inc. ","Consulting","www.abacon.ca ","An environmental consulting company specializing in asbestos management and environmental site assessment. Other services include: mould assessment, indoor air quality, occupational hygiene and hazardous materials management.",11
"Accomodating Green","Ecotourism","accommodatinggreen.com ","Consulting that focuses on integrating sustainability practices into business. Focus on sustainable tourism, environmental management systems, facilitation, environmental assessment, public consultation and training. ",12
"Accurassay Laboratories ","Analytical Services","www.accurassay.com ","Commercial environmental laboratory accredited and licensed for certain tests. Performs routine analysis of waters, effluents, soils, air for environmental contaminants.",13
"Ace Manufacturing Inc.","Water","www.delpark-filters.com ","Manufacturers of Filtration equipment, gravity filters, weir systems, vacuum systems and clay flocculation systems.",14
"ACG Technology Ltd. ","Air Pollution Prevention","www.acgtechnology.com ","Manufacturing, distribution and sales of municipal and industrial water, wastewater and stormwater treatment equipment and systems and odour control systems. ",15
"ACI Instrumentation Limited","Equipment","www.aciltd.ca ","Distributor of process control instrumentation",16
"Activation Laboratories Ltd ","Analytical Services","www.actlabs.com ","Complete range of analytical services for analyzing water, wastewater, soils, sediments and vegetation. Accredited to ISO 17025 for specific registered test by Standards Council of Canada.  Analyses available for all regulatory compliances.",17
"Adhawk Communications Inc.","Ecotourism","www.adhawk.ca ","Adhawk Communications creates and delivers social marketing campaigns and communications design in Canada and the United States - from concept to content to delivery in print, Web and e-media. ",18
"Adomait Environmental Solutions Inc.","Air Pollution Prevention","","The company is involved in the testing and permitting of air emissions sources.",19
"Advanced Environmental Corp.","Air Pollution Prevention","www.advanced-enviro.com ","Advanced Environmental Corp. specializes in hazardous materials management, occupational health and safety and environmental concerns. It is a service-oriented firm which can find safe, economical and practical solutions to environmental health and safety issues.",20
"Advanced H.E.P.A. Technologies Inc.","Consulting","www.advancedhepa.com ","Company tests H.E.P.A. filters, fume hoods, biological containment cabinets, clean benches, and cleanrooms. ",21
"Adventus Remediation Technologies ","Remediation","www.adventusremediation.com ","Adventus focuses on providing effective and economical technologies for remediation of soil, sediment, and water containing hard-to-treat contaminants.",22
"AEL Environment","","www.aelenv.com","Consulting Environmental Engineers for over 20 years.",23
"Aercoustics Engineering Ltd. ","Air Pollution Prevention","www.aercoustics.com ","Aercoustics Engineering Limited has dedicated itself to providing high quality consulting services in the science and engineering of acoustics, noise and vibration since its inception in 1971.",24
"AET Group Inc. ","Analytical Services","www.aet-group.com ","AET Group is an environmental consulting company which provides a wide range of ecological, building science, environmental management and waste services. ",25
"Aevitas Inc. ","Waste Management","www.aevitas.ca ","A waste services company specializing fluorescent lamp recycling, mercury waste treatment, PCB waste treatment, hazardous waste disposal, industrial waste water disposal, transformer oil removal and recycling, and transformer maintenance services. ",26
"Agat Laboratories ","Analytical Services","www.agatlabs.com ","Environmental Chemistry Laboratory that specializes in air, water and soil testing falling under the Ontario Contaminated Site Guidelines, Ontario Drinking Water Standard, Regulation 558 and many other regulatory standards.",27
"Agronovita Inc.","Analytical Services","www.agronovita.com ","Consulting firm providing services in the areas of carbon management, bioenergy, biofuels and agribusiness. ",28
"AiMS Environmental","Consulting","www.aimsconsulting.com ","AiMS combines over thirty years of experience and expertise in the fields of geo-environmental, chemical and industrial engineering. ",29
"Ainley Group","Consulting","www.ainleygroup.com ","The Ainley Group is a Canadian owned multi-discipline consulting engineering and planning company with offices in Barrie, Belleville, Collingwood and Ottawa.",30
"Airia Brands Inc.","Energy Efficiency","www.lifebreath.com ","Airia Brands Inc. is an ISO9001 registered company that manufactures residential, commercial and industrial air quality and energy recovery products.",31
"Airzone One Ltd.","Air Pollution Prevention","www.airzoneone.com ","Air Quality Consulting: Air Sampling, Monitoring and Analysis, Rapid-Response/On-Site Analysis, Occupational Health & Safety, Air Modelling, Emissions Reporting, Certificates of Approval (Air).",32
"Albarrie Canada ","","albarrie.com","Nonwoven Needlefelts Technical Fabric Manufacturer ",33
"Algonquin Clean Water Services Inc.","Water","www.cleanwaterservices.ca","Water treatment - commercial/residential, Iron, Sulfer, Manganese & Bacteria Removal Systems, Sales and Service MOE sampling - reg. 170/03 & 318 Muskoka, Haliburton, North Bay Areas",34
"Allan Clean Air Systems Limited ","Air Pollution Prevention","www.allancleanair.com ","Industrial Air Pollution Control Solution Provider",35
"ALS Laboratory Group - Environmental Div. (London)","Analytical Services","www.alsenviro.com ","ALS Environmental provides reliable analytical testing data that help consulting and engineering firms, industry, and governments around the world make informed decisions about their environmental projects.",36
"Altech Environmental Consulting Ltd.","Air Pollution Prevention","www.altech-group.com ","We specialize in corporate environmental management, environmental assessments and engineering, contaminated site investigation and remediation, health & safety management, training, and industrial hygiene.",37
"Pathogen Detection Systems Inc.","Equipment","www.pathogendetect.com "," PDS develops automated bacteriological testing systems for environmental, municipal, wastewater, recreational water, and industrial process water applications. Our fully-automated testing systems eliminate the need to transport samples to testing labs.",38
"PCB Disposal Inc.","Waste Management","www.pcbdisposalinc.com "," Full service PCB management and destruction company including 'turnkey' PCB transformer replacement services.",39
"PCE Sales and Engineering Inc.","Equipment",""," We manufacture material handling equipment, bulk bag material handling equipment including storage silo and feeding systems, gravimetric and volumetric feeding systems and bulk bag unloading systems.",40
"Peak Process Controls Inc.","Air Pollution Prevention","www.peakprocess.com ","A world leader in the manufacture of process photometers for continuous quality control monitoring in liquids and gasses. Our goal is to provide our customers with knowledgeable and accurate information, high quality instrumentation and continued after sales support. ",41
"Perry Johnson Registrars Inc.","Consulting","www.pjr.com"," Accredited by ANSI-RAB, RvA, JAB, UKAS, TGA, VDA, INMETRO and KBA, PJR provides third party audits for ISO 9000, ISO 9000:2000, ISO 14000, QS-9000, AS9100, VDA 6.1, TE Supplement andTL 9000.",42
"Phoenix Environmental Technologies Inc.","Water","www.phoenixenvirotech.com "," PET manufactures and markets electrostatic water conditioning technologies and related services to prevent fouling of water distributing systems by scale, biofilm , iron, etc. The techologies also remove exisiting deposits from the water distribution systems.",43
"Phoenix OHC Inc.","Air Pollution Prevention","www.phoenix-ohc.ca "," Provision of a global perspective and world class expertise in the anticipation, recognition, evaluation, communication and control of environmental factors that may affect human health, both in and out of the workplace. ",44
"Pigmalion Environmental","Waste Management","www.pigmalion.ca","We help your company acheive ISO 14001 goals for waste diversion. We are proud to provide a closed loop service ,recovered oils and coolants are shipped for refining and reuse, our pads are also recycled in the fiber reclycing industry.",45
"Pilot Performance Resources Management Inc.","Consulting",""," Management Systems-International Standards ISO 14001(environment) ISO 9001(Quality)Auditing (ISO 19011). Training, Consulting, Auditing, Speaking Engagements, EHS Resources-Products.",46
"Pinchin Ltd.","Air Pollution Prevention","www.pinchin.com ","One of Canada's largest environmental, health and safety consulting firms, providing consulting services in a wide variety of environmental and occupational health and safety disciplines. ",47
"Pine Environmental Services Inc. - Equipment Sales and Rentals","Equipment","www.pine-environmental.com "," We are dedicated to providing the latest instruments at competitive prices with the support on which you can rely. Speak to our expert staff if you any questions, need price quotes, or require technical service. We look forward to serving you! ",48
"Planet Earth Recycling","Waste Management","www.planetearthrecycling.ca"," Non hazardous recycling. Specialties include: organics, depackaging and compost production.",49
"Planmac Inc.","Consulting","www.planmac.com"," A civil engineering firm offering project initiation and planning studies, design and construction, and investigation services. Specialists in land development and buildings, transportation structures, environmental and water resources, and telecommunications. ",50
"Plasco Energy Group Ltd.","Waste Management","www.plascoenergygroup.com "," Plasma Technology Waste Disposal.",51
"PMHubbard and Associates","Consulting","","Specializes in environmental assessment and planning processes for large, complex and contentious projects as well as Class Environmental Assessments and watershed plans. The company also provides environmental assessment and consultation training.",52
"Pollutech Environmental Limited","Air Pollution Prevention","www.pollutechgroup.com ","Pollutech conducts environmental process consulting work associated with drinking water, wastewater, air emissions, compliance audits, environmental site assessments, greenhouse gas management,  and a range of other environmental areas.",53
"Port of Entry Inc.","Education","www.portofentry.com ","We provide online multimedia advertising and directory services for environmental companies interested in the Latin American and developing countries market.",54
"Potter Environmental","Waste Management","www.potterenvironmental.com"," Chemical Waste Disposal",55
"Pottinger Gaherty Environmental Consultants Ltd.","Air Pollution Prevention","www.pggroup.com "," Pottinger Gaherty offers a wide range of services such as site assessments, risk assessments, remediation planning and coordination, environmental impact assessments, EMS, permitting, approvals and GIS. ",56
"Premier Environmental Services Inc.","Consulting","www.premiercorp.ca "," Consulting Engineering firm who undertakes Phase I and II Environmental Site Assessments, remediation planning and management, expert witness testimony, site specific risk assessments, and environmental risk / insurance management",57
"Premier Focus Translations","Services","www.premierfocustranslations.com","We are a professional translation agency that offers the business quality and timely delivery that you require.Premier Focus helps you succeed, by effectively adapting your environmental products and services to meet the demands of the global marketplace.",58
"Premier Recycling","Waste Management","www.premierrecycling.ca/ ","Full service scrap metal recyclers operating throughout Ontario. Premier has a full range of on-site and mobile scrap processing equipment. The company buys and sells ferrous and non-ferrous metals.",59
"Prevention and Regulatory Solutions Ltd.","Air Pollution Prevention","www.pandrs.com ","Provides professional contract and consulting services in regulatory compliance and prevention for health, safety, environmental and sustainability. ",60
"PriceWaterhouseCoopers LLP","Environmental Management Systems","ww.pwc.com/ca ","We help organizations define their strategic vision for a sustainable future, improve their operational processes and sustainability management systems, and report on their sustainability performance. ",61
"Procyon Consulting Inc.","Consulting","www.procyon.ca "," Procyon Consulting (pr?´-s?-än), ISO 9001.2008 conforming, provides engineering services, emission/discharge control systems design, prepare C of A applications and provide advice, training and guidance towards environmental compliance.",62
"Prominent Fluid Controls Ltd.","Equipment","www.prominent.ca ","ProMinent equipment is used in applications for municipal water and wastewater treatment, industrial water treatment, the pulp and paper industry, food and beverage processing, chemical and petrochemical applications, and other applications.",63
"Protectolite Inc.","Water","www.protectolite.com ","Provides FRP Fiberglass Composite Parts for use in architecture, electrical, electronic, transportation, recreational, military and anti-corrosion and waste water applications. FRP products are light-weight, long lasting and have a low environmental impact. ",64
"Purifics ES Inc.","Contracting","www.Purifics.com ","A knowledge-based company that develops, manufactures, and supplies automated purification systems for air, water, and soil that provide significant environmental and economic benefit. The core of our business lies in patented photocatalytic chemical destruction processes. ",65
"Pyramids Engineering Inc.","Contracting","www.pyramidsengineering.com "," Consulting Engineering.",66
"Quatrex Environmental Inc.","Equipment","www.quatrex.ca "," Manufacturing and wholesale supply of Spill Control products, Secondary Containment, Flammable / Hazardous Materials Storage buildings, Solidification Medias and Recycling equipment.",67
"Quatrosense Environmental Ltd. (QEL) ","Energy Efficiency","www.qelsafety.com","Manufactures fixed gas detection systems, and combustion analysers - example applications: CO detection in parking garages and arenas; H2S, CH4, and O2 detection in sewage treatment plants. ",68
"Quinte Waste Solutions","Waste Management","www.quinterecycling.org "," Is a waste diversion services agency providing: waste diversion consultation for: blue box style collection, processing and marketing; hazardous waste management and organics management.",69
"R and R Laboratories Ltd.","Analytical Services","www.randrlaboratories.com "," R and R Laboratories offers consulting and analytical laboratory services. Testing mediums include industrial sludge, soil, surface and waste waters. We are not regulated by drinking water regulations",70
"R.V. Anderson Associates Ltd.","Air Pollution Prevention","www.rvanderson.com ","Comprised of environmental and infrastructure specialists for water, wastewater, transportation, and urban development, the company provides professional engineering, operations, and management services. ",71
"Ram Lining Systems Inc.","Environmental Design","www.ramlining.com"," Supply and install liners for environmental protection including landfills, sewage lagoons, golf course ponds, secondary containment for hazardous chemical, canals, methane barriers, mining industry, agricultural industry (silo liners) and more.",72
"RDC Group","Consulting","rdcgroup.ca"," Design services, education, and operations in the following areas: resource management, recycling, energy conservation, environmental protection. ",73
"RDI Chemical Corporation","Water",""," Integrated specialty chemical manufacturer and service company focusing on agriculture, agri-food, industrial, institutional, water ansd waste water chemistries, for production, processing, remediation and compliance.",74
"REA North America","Equipment","www.rea-na.com "," Distributor of Saturno vapour technology equipment which uses pure water that is superheated under pressure to 160 deg C and discharged at 145 psi as a dry (6% moisture) steam to: clean and sanitize surfaces, kill moulds, mildews and bacteria. ",75
"Read, Voorhees and Associates Limited","Contracting","readvoorhees.tripod.com","Provides professional services in the fields of transportation planning, traffic engineering, parking, transportation energy management, transit planning and operations, feasibility and functional planning, and design. RVA was established in 1964. ",76
"Recanex Corporation","Consulting","www.recanex.com "," One Stop Resource Management Services include Waste Management-recycling and non-hazardous waste Waste Audits Marketing of waste such as cardboard, plastics, metals, E-Waste ",77
"Recycling Resource Service","Education",""," Freelance environmental writer and author of two children's adventure stories entitled, 'Pee Wee and the Magical Compost Heap' and 'Pee Wee's Great Adventure: a guide to Vermicomposting' - both are designed as a teacher's guide",78
"Regensis","Remediation","www.regenesis.com ","Bioremediation products for the natural attenuation of groundwater contaminants such as BTEX, TPH, chlorinated solvents, and metals. These products include the widely used products Oxygen Release Compound (ORC) and Hydrogen Release Compound (HRC).",79
"REIC Ltd.","Waste Management",""," Environmental Consulting firm specializing in waste minimization and greenhouse gas reductions.",80
"Resource Futures International","Air Pollution Prevention","www.rfigroup.com ","Specializing in policy analysis and capacity building for environment and sustainable development. Main business areas are policy development and management options, multilateral environmental agreements and institutional strengthening. ",81
"Restoration Environmental Contractors","Consulting","www.environmentalhazards.com "," Specialized environmental abatement service contractor including toxic mould, asbestos, demolition, PCBs, infectious disease control and hazardous materials.",82
"Riskcheck Environmental Ltd.","Consulting","www.riskcheckinc.com ","A full service environmental consulting firm experienced in Phase I, II and III ESAs, Property Condition Assessments, Hazardous Waste Management, Site Remediation, Contaminant Geology and Environmental Auditing.",83
"Riversides","Consulting","www.riversides.org ","A specialist nonprofit organization focussed on source protection of urban watersheds from nonpoint source pollution through the application of social marketing, individual lot level rain harvesting and low impact development design consulting.",84
"Camplong and Associates Inc.","Consulting",""," Facility compliance assessments and management systems development, environmental compliance approval applications, emergency preparedness and response, occupational health and safety assessment",85
"Robert J. Redhead Limited","Consulting","www.redheadlimited.com "," Government Affairs Consultancy.",86
"Robinson Consultants Inc.","Energy Efficiency","www.rcii.com"," Civil and Environmental Engineering.",87
"Robustion Technologies Inc.","Analytical Services","www.robustion.ca"," An innovator in the field of transforming agri-food by-products into environmentally friendly consumer goods. Robustion uses spent coffee grounds to create solid fuel products. Java-Log is the company's first application. ",88
"Rocky Mountain Environmental Ltd.","Water","www.spilldepot.com "," Specializing in Hazmat storage, handling, and response products. Full line supplier of personal protection and safety equipment. Training in spill response, TDG, WHMIS, and cofined space/fall arrest.",89
"Rondar Inc.","Analytical Services","www.rondar.com "," PCB management services (e.g. disposal of contaminated transformers, storage site decommissioning, thermographic scanning)",90
"Rothsay","Waste Management","www.rothsay.ca "," Rothsay provides a rendering service for animal by-products and restaurant grease to convert them into protein meals, tallow and yellow grease products. ",91
"Rowan Williams Davies and Irwin Inc.","Air Pollution Prevention","www.rwdi.com ","A specialty consulting engineering firm - examples of goods and services: Dispersion Modelling - Noise and Vibration - Hazard and Risk Assessments - Stack Testing - Regional Atmospheric Modelling - Environmental Impact Assessments",92
"RSP International Inc.","Waste Management","www.rspinternational.com "," Specialists in the packaging, transportation and disposal of explosive or potentially explosive, shock sensitive or reactive chemicals.",93
"Rubicon Environmental Inc.","Consulting",""," environmental consulting services",94
"Rural Development Consultants Limited","Analytical Services",""," Consulting services in engineering, geology, geography, hydrogeology and environmental studies. ",95
"S.A. Armstrong Limited","Energy Efficiency","armstrongfluidtechnology.com"," Manufacturer of Pumps, Heat Exchangers and Systems for HVAC applications.",96
"S2S Environmental Inc.","Air Pollution Prevention","www.s2se.com "," A full service environmental consulting firm.",97
"Safety Express Ltd.","Equipment","www.safetyexpress.com "," Distributer of Environmental Products, Restoration and safety products. Fit Testing, DOP Testing. First Aid Training ",98
"Safety-Kleen (London) Canada Inc.","Equipment","www.safety-kleen.com "," Provide safe, dependable industrial waste management services that meet the needs of our customers and the communities we serve, while conserving natural resources and protecting the environments.",99
"SAIC Canada","Air Pollution Prevention",""," Offers specialized services in the following areas: remediation solution development, treatability studies, environmental emergency management, NPRI reporting,  renewable energy solution development and implementation and greenhouse gas emissions reduction initiatives. ",100
"Salandria Ltd.","Remediation","www.salandria.com "," Environmental Mangers for disposal of liquid, solid waste as well as environmental remediators for soil contamination, asbestos, mold and demoliton services",101
"Sam Adelstein and Co. Limited","Waste Management","http://home.cogeco.net/~adelstein/"," Metal Recycling",102
"Sani Tech Communal Systems Inc.","Environmental Design","www.sanitechinc.com "," Provides turn-key solutions for wastewater treatment and disposal / reuse for residential, commercial and municipal development in non-sewer areas. Sani Tech provides a full complement of services from design and installation to operation and maintenance.",103
