"compliance_id","regulation_name","certification_type","certification_number","expiry_date","description","company_id"
1,"Clean Air Act","WaterSense Certification","8B9I2YSD","2024-04-12","Ensuring proper disposal of hazardous materials and minimizing environmental impact",120
2,"Clean Water Act","WaterSense Certification","VAJ2E9DG","2025-03-15","Implementing sustainable water management practices",156
3,"National Environmental Policy Act","ENERGY STAR Certification","NZJC3KFZ","2025-03-23","Ensuring proper disposal of hazardous materials and minimizing environmental impact",98
4,"Endangered Species Act","EcoLogo Certification","PXO1LDPM","2024-03-20","Ensuring proper disposal of hazardous materials and minimizing environmental impact",105
5,"Clean Water Act","LEED Certification","08SRFQHX","2024-04-01","Implementing sustainable water management practices",201
6,"Resource Conservation and Recovery Act","ENERGY STAR Certification","DXGYIARR","2025-01-21","Implementing sustainable water management practices",229
7,"Resource Conservation and Recovery Act","ENERGY STAR Certification","7NLAZ5LC","2025-10-25","Ensuring proper disposal of hazardous materials and minimizing environmental impact",164
8,"Resource Conservation and Recovery Act","ISO 14001","ZII560OZ","2024-07-01","Ensuring proper disposal of hazardous materials and minimizing environmental impact",159
9,"National Environmental Policy Act","EcoLogo Certification","MJ7GYQ2A","2025-02-13","Ensuring proper disposal of hazardous materials and minimizing environmental impact",79
10,"Clean Water Act","ENERGY STAR Certification","WW6B8XWX","2025-03-27","Implementing waste management practices and recycling initiatives",251
11,"Resource Conservation and Recovery Act","WaterSense Certification","B561O3RA","2024-10-09","Adhering to emission standards and implementing pollution control measures",172
12,"National Environmental Policy Act","EcoLogo Certification","V7PWNSUL","2025-10-01","Implementing waste management practices and recycling initiatives",250
13,"Toxic Substances Control Act","ISO 14001","GUPMSDZD","2025-05-20","Protecting endangered species habitats and promoting biodiversity conservation",36
14,"Endangered Species Act","WaterSense Certification","TSNX08HB","2024-04-30","Promoting energy efficiency and sustainable building practices",142
15,"Clean Air Act","WaterSense Certification","NWHQD3AS","2024-12-13","Ensuring proper disposal of hazardous materials and minimizing environmental impact",95
16,"Clean Air Act","WaterSense Certification","CLJ2IHSO","2024-10-06","Protecting endangered species habitats and promoting biodiversity conservation",25
17,"Toxic Substances Control Act","ISO 14001","8IOGWPC0","2024-03-28","Protecting endangered species habitats and promoting biodiversity conservation",235
18,"Clean Air Act","ENERGY STAR Certification","HLKML8E2","2024-03-27","Promoting energy efficiency and sustainable building practices",171
19,"Toxic Substances Control Act","LEED Certification","CD1ZLT5K","2025-06-11","Adhering to emission standards and implementing pollution control measures",3
20,"Resource Conservation and Recovery Act","EcoLogo Certification","CL0M4ZG5","2024-09-20","Implementing waste management practices and recycling initiatives",255
21,"Resource Conservation and Recovery Act","ENERGY STAR Certification","X4VVBUW3","2025-12-31","Adhering to emission standards and implementing pollution control measures",141
22,"Clean Water Act","ISO 14001","7OQQYYY4","2025-03-26","Ensuring proper disposal of hazardous materials and minimizing environmental impact",160
23,"Clean Air Act","LEED Certification","0CPAPAJ8","2025-09-15","Protecting endangered species habitats and promoting biodiversity conservation",231
24,"Clean Air Act","Green Seal Certification","IARIHYMA","2024-07-31","Protecting endangered species habitats and promoting biodiversity conservation",240
25,"Resource Conservation and Recovery Act","ISO 14001","6CFV7CA4","2024-06-04","Protecting endangered species habitats and promoting biodiversity conservation",50
26,"Resource Conservation and Recovery Act","EcoLogo Certification","6RJLMKND","2025-10-26","Ensuring proper disposal of hazardous materials and minimizing environmental impact",80
27,"Toxic Substances Control Act","EcoLogo Certification","CEJ3RTYP","2024-07-27","Protecting endangered species habitats and promoting biodiversity conservation",37
28,"Clean Air Act","LEED Certification","5X6EGZHE","2025-09-08","Protecting endangered species habitats and promoting biodiversity conservation",101
29,"Clean Air Act","WaterSense Certification","208XA9AM","2025-12-18","Ensuring proper disposal of hazardous materials and minimizing environmental impact",6
30,"Toxic Substances Control Act","EcoLogo Certification","73HPNJ80","2024-04-18","Promoting energy efficiency and sustainable building practices",247
31,"Toxic Substances Control Act","WaterSense Certification","Z24IIWNF","2024-12-14","Implementing sustainable water management practices",125
32,"Endangered Species Act","LEED Certification","F949UX8N","2026-01-20","Implementing waste management practices and recycling initiatives",163
33,"Clean Water Act","ENERGY STAR Certification","BUUQSSEA","2025-08-12","Adhering to emission standards and implementing pollution control measures",70
34,"Clean Water Act","LEED Certification","2DSL68C2","2024-11-21","Promoting energy efficiency and sustainable building practices",182
35,"Clean Water Act","ISO 14001","VEAC1H5D","2024-08-13","Implementing waste management practices and recycling initiatives",211
36,"National Environmental Policy Act","ENERGY STAR Certification","HO9QFMHU","2025-12-04","Implementing sustainable water management practices",13
37,"Clean Water Act","EcoLogo Certification","TKWRXBBV","2024-07-13","Adhering to emission standards and implementing pollution control measures",82
