"project_id","project_name","project_description","start_date","end_date","budget_usd","company_id"
1,"Environmental Conservation","Educating communities about environmental issues and promoting sustainable practices","2024-04-22","2025-02-21",243655.0,221
2,"Environmental Conservation","Monitoring air quality and implementing strategies to reduce pollution levels","2023-09-29","2024-05-19",116814.0,194
3,"Water Resource Management","Monitoring air quality and implementing strategies to reduce pollution levels","2023-01-06","2024-01-05",229820.0,140
4,"Sustainable Energy Initiative","Monitoring air quality and implementing strategies to reduce pollution levels","2024-03-02","2024-10-02",82393.0,252
5,"Water Resource Management","Developing eco-friendly technologies for waste management and recycling","2023-06-07","2024-01-17",154915.0,213
6,"Sustainable Energy Initiative","Educating communities about environmental issues and promoting sustainable practices","2024-10-26","2025-01-09",258920.0,30
7,"Sustainable Energy Initiative","Implementing measures to reduce carbon emissions and promote renewable energy sources","2023-12-30","2024-09-07",68261.0,81
8,"Eco-friendly Infrastructure Development","Monitoring air quality and implementing strategies to reduce pollution levels","2023-04-17","2023-07-16",205285.0,68
9,"Eco-friendly Infrastructure Development","Educating communities about environmental issues and promoting sustainable practices","2023-01-02","2023-03-27",105877.0,159
10,"Environmental Conservation","Developing eco-friendly technologies for waste management and recycling","2024-02-05","2024-07-27",76097.0,35
11,"Water Resource Management","Developing eco-friendly technologies for waste management and recycling","2023-04-12","2023-11-25",144859.0,46
12,"Environmental Conservation","Developing eco-friendly technologies for waste management and recycling","2023-06-18","2024-06-02",168962.0,239
13,"Eco-friendly Infrastructure Development","Restoring ecosystems and biodiversity through conservation efforts","2023-07-20","2023-11-29",98246.0,108
14,"Eco-friendly Infrastructure Development","Implementing measures to reduce carbon emissions and promote renewable energy sources","2024-07-11","2024-10-11",204428.0,133
15,"Environmental Conservation","Implementing measures to reduce carbon emissions and promote renewable energy sources","2023-11-17","2023-12-25",293879.0,13
16,"Pollution Control Program","Monitoring air quality and implementing strategies to reduce pollution levels","2024-01-28","2024-02-29",254857.0,12
17,"Environmental Conservation","Monitoring air quality and implementing strategies to reduce pollution levels","2024-01-27","2024-11-20",258834.0,123
18,"Sustainable Energy Initiative","Restoring ecosystems and biodiversity through conservation efforts","2024-03-17","2024-04-19",216487.0,192
19,"Air Quality Improvement","Developing eco-friendly technologies for waste management and recycling","2023-12-21","2024-01-29",65834.0,190
20,"Air Quality Improvement","Educating communities about environmental issues and promoting sustainable practices","2023-11-27","2024-09-13",251608.0,47
21,"Environmental Conservation","Implementing measures to reduce carbon emissions and promote renewable energy sources","2023-08-31","2023-09-30",106548.0,124
22,"Water Resource Management","Developing eco-friendly technologies for waste management and recycling","2023-03-09","2023-10-15",69366.0,99
23,"Air Quality Improvement","Developing eco-friendly technologies for waste management and recycling","2023-09-19","2024-05-17",200706.0,17
24,"Sustainable Energy Initiative","Monitoring air quality and implementing strategies to reduce pollution levels","2023-01-11","2023-06-01",256651.0,215
25,"Sustainable Energy Initiative","Implementing measures to reduce carbon emissions and promote renewable energy sources","2023-11-20","2024-10-16",173830.0,104
26,"Environmental Conservation","Implementing measures to reduce carbon emissions and promote renewable energy sources","2024-09-23","2025-08-19",282700.0,193
27,"Water Resource Management","Monitoring air quality and implementing strategies to reduce pollution levels","2024-06-19","2024-12-12",88279.0,250
28,"Eco-friendly Infrastructure Development","Restoring ecosystems and biodiversity through conservation efforts","2023-06-23","2024-01-17",285240.0,175
29,"Air Quality Improvement","Managing water resources efficiently to ensure sustainability and access for all","2023-10-05","2024-02-17",252308.0,235
30,"Air Quality Improvement","Implementing measures to reduce carbon emissions and promote renewable energy sources","2024-09-22","2025-09-13",238986.0,241
31,"Water Resource Management","Developing eco-friendly technologies for waste management and recycling","2024-09-05","2025-08-21",234730.0,95
32,"Sustainable Energy Initiative","Restoring ecosystems and biodiversity through conservation efforts","2024-09-01","2024-11-03",72026.0,27
33,"Sustainable Energy Initiative","Managing water resources efficiently to ensure sustainability and access for all","2023-05-26","2023-08-31",52600.0,45
34,"Environmental Conservation","Implementing measures to reduce carbon emissions and promote renewable energy sources","2023-06-13","2023-07-26",187803.0,42
35,"Environmental Conservation","Developing eco-friendly technologies for waste management and recycling","2024-08-11","2024-11-27",127533.0,222
36,"Pollution Control Program","Implementing measures to reduce carbon emissions and promote renewable energy sources","2023-01-22","2023-07-08",208670.0,179
37,"Water Resource Management","Educating communities about environmental issues and promoting sustainable practices","2023-04-21","2023-05-23",194818.0,121
38,"Eco-friendly Infrastructure Development","Implementing measures to reduce carbon emissions and promote renewable energy sources","2024-11-11","2025-10-03",133129.0,80
39,"Water Resource Management","Developing eco-friendly technologies for waste management and recycling","2024-04-21","2025-03-23",55493.0,237
